filename;label;indv;ori_label
HM_HMB_R11_AUDIO_file_5_(2017_08_24-06_44_59)_ASWMUX221163_wav___1_08_46_681.wav;al;HMB;ALARM
HM_HMB_R11_AUDIO_file_5_(2017_08_24-06_44_59)_ASWMUX221163_wav___1_08_48_379.wav;al;HMB;ALARM
HM_HMB_R11_AUDIO_file_5_(2017_08_24-06_44_59)_ASWMUX221163_wav___1_08_50_588.wav;al;HMB;ALARM
HM_HMB_R11_AUDIO_file_5_(2017_08_24-06_44_59)_ASWMUX221163_wav___1_08_52_708.wav;al;HMB;ALARM
HM_HMB_R11_AUDIO_file_5_(2017_08_24-06_44_59)_ASWMUX221163_wav___1_08_53_752.wav;al;HMB;ALARM
HM_HMB_R11_AUDIO_file_5_(2017_08_24-06_44_59)_ASWMUX221163_wav___1_08_55_112.wav;al;HMB;ALARM
HM_HMB_R11_AUDIO_file_5_(2017_08_24-06_44_59)_ASWMUX221163_wav___1_08_57_096.wav;al;HMB;ALARM
HM_HMB_R11_AUDIO_file_5_(2017_08_24-06_44_59)_ASWMUX221163_wav___1_08_58_926.wav;al;HMB;ALARM 
HM_HMB_R11_AUDIO_file_5_(2017_08_24-06_44_59)_ASWMUX221163_wav___1_09_00_203.wav;al;HMB;ALARM
HM_HMB_R11_AUDIO_file_5_(2017_08_24-06_44_59)_ASWMUX221163_wav___1_09_01_604.wav;al;HMB;ALARM
HM_HMB_R11_AUDIO_file_5_(2017_08_24-06_44_59)_ASWMUX221163_wav___1_09_04_508.wav;al;HMB;ALARM
HM_HMB_R11_AUDIO_file_5_(2017_08_24-06_44_59)_ASWMUX221163_wav___1_09_06_599.wav;al;HMB;ALARM
HM_HMB_R11_AUDIO_file_5_(2017_08_24-06_44_59)_ASWMUX221163_wav___1_09_06_989.wav;al;HMB;ALARM
HM_HMB_R11_AUDIO_file_5_(2017_08_24-06_44_59)_ASWMUX221163_wav___1_09_07_418.wav;al;HMB;ALARM
HM_HMB_R11_AUDIO_file_5_(2017_08_24-06_44_59)_ASWMUX221163_wav___1_09_07_819.wav;al;HMB;ALARM
HM_HMB_R11_AUDIO_file_5_(2017_08_24-06_44_59)_ASWMUX221163_wav___1_09_08_418.wav;al;HMB;ALARM
HM_HMB_R11_AUDIO_file_5_(2017_08_24-06_44_59)_ASWMUX221163_wav___1_09_08_961.wav;al;HMB;ALARM
HM_HMB_R11_AUDIO_file_5_(2017_08_24-06_44_59)_ASWMUX221163_wav___1_09_10_758.wav;al;HMB;ALARM
HM_HMB_R11_AUDIO_file_5_(2017_08_24-06_44_59)_ASWMUX221163_wav___1_09_12_133.wav;al;HMB;ALARM
HM_HMB_R11_AUDIO_file_5_(2017_08_24-06_44_59)_ASWMUX221163_wav___1_09_13_246.wav;al;HMB;ALARM
HM_HMB_R11_AUDIO_file_5_(2017_08_24-06_44_59)_ASWMUX221163_wav___1_09_20_890.wav;al;HMB;ALARM
HM_HMB_R11_AUDIO_file_5_(2017_08_24-06_44_59)_ASWMUX221163_wav___1_09_30_536.wav;sn;HMB;SN
HM_HMB_R11_AUDIO_file_5_(2017_08_24-06_44_59)_ASWMUX221163_wav___1_09_34_359.wav;sn;HMB;SN
HM_HMB_R11_AUDIO_file_5_(2017_08_24-06_44_59)_ASWMUX221163_wav___1_09_36_088.wav;sn;HMB;SN
HM_HMB_R11_AUDIO_file_5_(2017_08_24-06_44_59)_ASWMUX221163_wav___1_10_36_283.wav;sn;HMB;SN
HM_HMB_R11_AUDIO_file_5_(2017_08_24-06_44_59)_ASWMUX221163_wav___1_10_40_041.wav;sn;HMB;SN
HM_HMB_R11_AUDIO_file_5_(2017_08_24-06_44_59)_ASWMUX221163_wav___1_49_48_334.wav;mo;HMB;MOV*
HM_HMB_R11_AUDIO_file_6_(2017_08_25-06_44_59)_ASWMUX221163_wav___1_23_28_556.wav;agg;HMB;GROWL
HM_HMB_R11_AUDIO_file_6_(2017_08_25-06_44_59)_ASWMUX221163_wav___1_23_29_189.wav;agg;HMB;GROWL
HM_HRT_R07_20170903-20170908_file_2_(2017_09_03-05_44_59)_ASWMUX221092_wav___1_10_37_829.wav;soc;HRT;SOC
HM_HRT_R07_20170903-20170908_file_2_(2017_09_03-05_44_59)_ASWMUX221092_wav___1_10_52_484.wav;sn;HRT;SN
HM_HRT_R07_20170903-20170908_file_2_(2017_09_03-05_44_59)_ASWMUX221092_wav___1_11_16_110.wav;sn;HRT;SN
HM_HRT_R07_20170903-20170908_file_2_(2017_09_03-05_44_59)_ASWMUX221092_wav___1_12_13_636.wav;sn;HRT;SN
HM_HRT_R07_20170903-20170908_file_2_(2017_09_03-05_44_59)_ASWMUX221092_wav___1_13_14_400.wav;sn;HRT;SN
HM_HRT_R07_20170903-20170908_file_2_(2017_09_03-05_44_59)_ASWMUX221092_wav___1_13_23_500.wav;sn;HRT;SN
HM_HRT_R07_20170903-20170908_file_2_(2017_09_03-05_44_59)_ASWMUX221092_wav___1_13_24_749.wav;sn;HRT;SN
HM_HRT_R07_20170903-20170908_file_2_(2017_09_03-05_44_59)_ASWMUX221092_wav___1_13_25_425.wav;sn;HRT;SN
HM_HRT_R07_20170903-20170908_file_2_(2017_09_03-05_44_59)_ASWMUX221092_wav___1_13_26_644.wav;ld;HRT;LEAD
HM_HRT_R07_20170903-20170908_file_2_(2017_09_03-05_44_59)_ASWMUX221092_wav___1_13_27_258.wav;mo;HRT;MOV
HM_HRT_R07_20170903-20170908_file_2_(2017_09_03-05_44_59)_ASWMUX221092_wav___1_13_41_858.wav;ld;HRT;LEAD
HM_HRT_R07_20170903-20170908_file_2_(2017_09_03-05_44_59)_ASWMUX221092_wav___1_13_43_770.wav;mo;HRT;MOV
HM_HRT_R07_20170903-20170908_file_2_(2017_09_03-05_44_59)_ASWMUX221092_wav___1_16_44_600.wav;sn;HRT;SN
HM_HRT_R07_20170903-20170908_file_2_(2017_09_03-05_44_59)_ASWMUX221092_wav___1_17_50_351.wav;mo;HRT;MOV
HM_HRT_R07_20170903-20170908_file_2_(2017_09_03-05_44_59)_ASWMUX221092_wav___1_18_19_269.wav;ld;HRT;LEAD
HM_HRT_R07_20170903-20170908_file_2_(2017_09_03-05_44_59)_ASWMUX221092_wav___1_18_22_748.wav;soc;HRT;SOC
HM_HRT_R07_20170903-20170908_file_2_(2017_09_03-05_44_59)_ASWMUX221092_wav___1_18_28_134.wav;ld;HRT;LEAD
HM_HRT_R07_20170903-20170908_file_2_(2017_09_03-05_44_59)_ASWMUX221092_wav___1_20_33_700.wav;soc;HRT;SOC
HM_HRT_R07_20170903-20170908_file_2_(2017_09_03-05_44_59)_ASWMUX221092_wav___1_25_47_108.wav;sn;HRT;SN
HM_HRT_R07_20170903-20170908_file_2_(2017_09_03-05_44_59)_ASWMUX221092_wav___1_27_43_925.wav;sn;HRT;SN
HM_HRT_R07_20170903-20170908_file_2_(2017_09_03-05_44_59)_ASWMUX221092_wav___1_28_08_226.wav;ld;HRT;LEAD
HM_HRT_R07_20170903-20170908_file_2_(2017_09_03-05_44_59)_ASWMUX221092_wav___1_29_56_378.wav;sn;HRT;SN
HM_HRT_R07_20170903-20170908_file_2_(2017_09_03-05_44_59)_ASWMUX221092_wav___1_30_08_558.wav;sn;HRT;SN
HM_HRT_R07_20170903-20170908_file_2_(2017_09_03-05_44_59)_ASWMUX221092_wav___1_30_22_285.wav;mo;HRT;MOV
HM_HRT_R07_20170903-20170908_file_2_(2017_09_03-05_44_59)_ASWMUX221092_wav___1_30_57_541.wav;sn;HRT;SN
HM_HRT_R07_20170903-20170908_file_2_(2017_09_03-05_44_59)_ASWMUX221092_wav___1_31_42_725.wav;ld;HRT;LEAD
HM_HRT_R07_20170903-20170908_file_2_(2017_09_03-05_44_59)_ASWMUX221092_wav___1_40_12_740.wav;mo;HRT;MOV
HM_HRT_R07_20170903-20170908_file_2_(2017_09_03-05_44_59)_ASWMUX221092_wav___1_40_22_439.wav;ld;HRT;LEAD
HM_HRT_R07_20170903-20170908_file_2_(2017_09_03-05_44_59)_ASWMUX221092_wav___1_45_32_723.wav;mo;HRT;MOV
HM_HRT_R07_20170903-20170908_file_2_(2017_09_03-05_44_59)_ASWMUX221092_wav___1_45_39_067.wav;sn;HRT;SN
HM_HRT_R07_20170903-20170908_file_2_(2017_09_03-05_44_59)_ASWMUX221092_wav___1_45_41_052.wav;sn;HRT;SN
HM_HRT_R07_20170903-20170908_file_2_(2017_09_03-05_44_59)_ASWMUX221092_wav___1_45_41_126.wav;sn;HRT;SN
HM_HRT_R07_20170903-20170908_file_2_(2017_09_03-05_44_59)_ASWMUX221092_wav___1_45_48_470.wav;ld;HRT;LEAD
HM_HRT_R07_20170903-20170908_file_2_(2017_09_03-05_44_59)_ASWMUX221092_wav___1_52_08_471.wav;mo;HRT;MOV
HM_HRT_R07_20170903-20170908_file_2_(2017_09_03-05_44_59)_ASWMUX221092_wav___1_52_12_457.wav;ld;HRT;LEAD
HM_HRT_R07_20170903-20170908_file_2_(2017_09_03-05_44_59)_ASWMUX221092_wav___2_09_22_378.wav;soc;HRT;SOC
HM_HRT_R07_20170903-20170908_file_4_(2017_09_05-05_44_59)_ASWMUX221092_wav___29_58_904.wav;sn;HRT;SN
HM_HRT_R07_20170903-20170908_file_4_(2017_09_05-05_44_59)_ASWMUX221092_wav___30_27_262.wav;sn;HRT;SN
HM_HRT_R07_20170903-20170908_file_4_(2017_09_05-05_44_59)_ASWMUX221092_wav___30_32_208.wav;sn;HRT;SN
HM_HRT_R07_20170903-20170908_file_4_(2017_09_05-05_44_59)_ASWMUX221092_wav___1_02_25_046.wav;sn;HRT;SN
HM_HRT_R07_20170903-20170908_file_4_(2017_09_05-05_44_59)_ASWMUX221092_wav___1_02_25_141.wav;sn;HRT;SN
HM_HRT_R07_20170903-20170908_file_4_(2017_09_05-05_44_59)_ASWMUX221092_wav___1_03_05_156.wav;sn;HRT;SN
HM_HRT_R07_20170903-20170908_file_4_(2017_09_05-05_44_59)_ASWMUX221092_wav___1_03_05_458.wav;sn;HRT;SN
HM_HRT_R07_20170903-20170908_file_4_(2017_09_05-05_44_59)_ASWMUX221092_wav___1_03_06_780.wav;sn;HRT;SN
HM_HRT_R07_20170903-20170908_file_4_(2017_09_05-05_44_59)_ASWMUX221092_wav___1_03_07_602.wav;sn;HRT;SN
HM_HRT_R07_20170903-20170908_file_4_(2017_09_05-05_44_59)_ASWMUX221092_wav___1_04_12_652.wav;sn;HRT;SN
HM_HRT_R07_20170903-20170908_file_4_(2017_09_05-05_44_59)_ASWMUX221092_wav___1_04_13_363.wav;sn;HRT;SN
HM_HRT_R07_20170903-20170908_file_4_(2017_09_05-05_44_59)_ASWMUX221092_wav___1_04_13_459.wav;sn;HRT;SN
HM_HRT_R07_20170903-20170908_file_4_(2017_09_05-05_44_59)_ASWMUX221092_wav___1_04_13_630.wav;sn;HRT;SN
HM_HRT_R07_20170903-20170908_file_4_(2017_09_05-05_44_59)_ASWMUX221092_wav___1_04_13_980.wav;sn;HRT;SN
HM_HRT_R07_20170903-20170908_file_4_(2017_09_05-05_44_59)_ASWMUX221092_wav___1_04_14_462.wav;sn;HRT;SN
HM_HRT_R07_20170903-20170908_file_4_(2017_09_05-05_44_59)_ASWMUX221092_wav___1_04_22_055.wav;sn;HRT;SN
HM_HRT_R07_20170903-20170908_file_4_(2017_09_05-05_44_59)_ASWMUX221092_wav___1_04_32_817.wav;sn;HRT;SN
HM_HRT_R07_20170903-20170908_file_4_(2017_09_05-05_44_59)_ASWMUX221092_wav___1_04_35_623.wav;sn;HRT;SN
HM_HRT_R07_20170903-20170908_file_4_(2017_09_05-05_44_59)_ASWMUX221092_wav___1_04_35_725.wav;sn;HRT;SN
