;filename;label;indv;ori_label
249;HM_HMB_R11_AUDIO_file_5_(2017_08_24-06_44_59)_ASWMUX221163_wav___1_07_39_358.wav;al;HMB;ALARM
250;HM_HMB_R11_AUDIO_file_5_(2017_08_24-06_44_59)_ASWMUX221163_wav___1_07_39_690.wav;al;HMB;ALARM
252;HM_HMB_R11_AUDIO_file_5_(2017_08_24-06_44_59)_ASWMUX221163_wav___1_07_40_411.wav;al;HMB;ALARM
253;HM_HMB_R11_AUDIO_file_5_(2017_08_24-06_44_59)_ASWMUX221163_wav___1_07_40_836.wav;al;HMB;ALARM
254;HM_HMB_R11_AUDIO_file_5_(2017_08_24-06_44_59)_ASWMUX221163_wav___1_07_41_200.wav;al;HMB;ALARM
255;HM_HMB_R11_AUDIO_file_5_(2017_08_24-06_44_59)_ASWMUX221163_wav___1_07_41_531.wav;al;HMB;ALARM
256;HM_HMB_R11_AUDIO_file_5_(2017_08_24-06_44_59)_ASWMUX221163_wav___1_07_41_937.wav;al;HMB;ALARM
257;HM_HMB_R11_AUDIO_file_5_(2017_08_24-06_44_59)_ASWMUX221163_wav___1_07_42_221.wav;al;HMB;ALARM
258;HM_HMB_R11_AUDIO_file_5_(2017_08_24-06_44_59)_ASWMUX221163_wav___1_07_42_583.wav;al;HMB;ALARM
259;HM_HMB_R11_AUDIO_file_5_(2017_08_24-06_44_59)_ASWMUX221163_wav___1_07_43_429.wav;al;HMB;ALARM
260;HM_HMB_R11_AUDIO_file_5_(2017_08_24-06_44_59)_ASWMUX221163_wav___1_07_43_850.wav;al;HMB;ALARM
261;HM_HMB_R11_AUDIO_file_5_(2017_08_24-06_44_59)_ASWMUX221163_wav___1_07_44_283.wav;al;HMB;ALARM
262;HM_HMB_R11_AUDIO_file_5_(2017_08_24-06_44_59)_ASWMUX221163_wav___1_07_45_249.wav;al;HMB;ALARM
263;HM_HMB_R11_AUDIO_file_5_(2017_08_24-06_44_59)_ASWMUX221163_wav___1_07_47_474.wav;al;HMB;ALARM
264;HM_HMB_R11_AUDIO_file_5_(2017_08_24-06_44_59)_ASWMUX221163_wav___1_07_48_952.wav;al;HMB;ALARM
265;HM_HMB_R11_AUDIO_file_5_(2017_08_24-06_44_59)_ASWMUX221163_wav___1_07_52_385.wav;al;HMB;ALARM
266;HM_HMB_R11_AUDIO_file_5_(2017_08_24-06_44_59)_ASWMUX221163_wav___1_07_53_794.wav;al;HMB;ALARM
267;HM_HMB_R11_AUDIO_file_5_(2017_08_24-06_44_59)_ASWMUX221163_wav___1_07_54_941.wav;al;HMB;ALARM
268;HM_HMB_R11_AUDIO_file_5_(2017_08_24-06_44_59)_ASWMUX221163_wav___1_07_56_271.wav;al;HMB;ALARM
269;HM_HMB_R11_AUDIO_file_5_(2017_08_24-06_44_59)_ASWMUX221163_wav___1_07_57_744.wav;al;HMB;ALARM
270;HM_HMB_R11_AUDIO_file_5_(2017_08_24-06_44_59)_ASWMUX221163_wav___1_07_58_240.wav;al;HMB;ALARM
271;HM_HMB_R11_AUDIO_file_5_(2017_08_24-06_44_59)_ASWMUX221163_wav___1_07_58_864.wav;al;HMB;ALARM
272;HM_HMB_R11_AUDIO_file_5_(2017_08_24-06_44_59)_ASWMUX221163_wav___1_08_00_344.wav;al;HMB;ALARM
273;HM_HMB_R11_AUDIO_file_5_(2017_08_24-06_44_59)_ASWMUX221163_wav___1_08_02_749.wav;al;HMB;ALARM
274;HM_HMB_R11_AUDIO_file_5_(2017_08_24-06_44_59)_ASWMUX221163_wav___1_08_04_169.wav;al;HMB;ALARM
275;HM_HMB_R11_AUDIO_file_5_(2017_08_24-06_44_59)_ASWMUX221163_wav___1_08_04_679.wav;al;HMB;ALARM
276;HM_HMB_R11_AUDIO_file_5_(2017_08_24-06_44_59)_ASWMUX221163_wav___1_08_05_918.wav;al;HMB;ALARM
277;HM_HMB_R11_AUDIO_file_5_(2017_08_24-06_44_59)_ASWMUX221163_wav___1_08_06_504.wav;al;HMB;ALARM
278;HM_HMB_R11_AUDIO_file_5_(2017_08_24-06_44_59)_ASWMUX221163_wav___1_08_06_925.wav;al;HMB;ALARM
279;HM_HMB_R11_AUDIO_file_5_(2017_08_24-06_44_59)_ASWMUX221163_wav___1_08_07_384.wav;al;HMB;ALARM
280;HM_HMB_R11_AUDIO_file_5_(2017_08_24-06_44_59)_ASWMUX221163_wav___1_08_08_616.wav;al;HMB;ALARM
281;HM_HMB_R11_AUDIO_file_5_(2017_08_24-06_44_59)_ASWMUX221163_wav___1_08_09_563.wav;al;HMB;ALARM
282;HM_HMB_R11_AUDIO_file_5_(2017_08_24-06_44_59)_ASWMUX221163_wav___1_08_10_803.wav;al;HMB;ALARM
283;HM_HMB_R11_AUDIO_file_5_(2017_08_24-06_44_59)_ASWMUX221163_wav___1_08_12_088.wav;al;HMB;ALARM
284;HM_HMB_R11_AUDIO_file_5_(2017_08_24-06_44_59)_ASWMUX221163_wav___1_08_12_501.wav;al;HMB;ALARM
285;HM_HMB_R11_AUDIO_file_5_(2017_08_24-06_44_59)_ASWMUX221163_wav___1_08_15_184.wav;al;HMB;ALARM
286;HM_HMB_R11_AUDIO_file_5_(2017_08_24-06_44_59)_ASWMUX221163_wav___1_08_15_597.wav;al;HMB;ALARM
287;HM_HMB_R11_AUDIO_file_5_(2017_08_24-06_44_59)_ASWMUX221163_wav___1_08_16_154.wav;al;HMB;ALARM
288;HM_HMB_R11_AUDIO_file_5_(2017_08_24-06_44_59)_ASWMUX221163_wav___1_08_17_033.wav;al;HMB;ALARM
289;HM_HMB_R11_AUDIO_file_5_(2017_08_24-06_44_59)_ASWMUX221163_wav___1_08_18_062.wav;al;HMB;ALARM
290;HM_HMB_R11_AUDIO_file_5_(2017_08_24-06_44_59)_ASWMUX221163_wav___1_08_19_550.wav;al;HMB;ALARM
291;HM_HMB_R11_AUDIO_file_5_(2017_08_24-06_44_59)_ASWMUX221163_wav___1_08_20_565.wav;al;HMB;ALARM
292;HM_HMB_R11_AUDIO_file_5_(2017_08_24-06_44_59)_ASWMUX221163_wav___1_08_21_482.wav;al;HMB;ALARM
293;HM_HMB_R11_AUDIO_file_5_(2017_08_24-06_44_59)_ASWMUX221163_wav___1_08_23_372.wav;al;HMB;ALARM
294;HM_HMB_R11_AUDIO_file_5_(2017_08_24-06_44_59)_ASWMUX221163_wav___1_08_25_095.wav;al;HMB;ALARM
295;HM_HMB_R11_AUDIO_file_5_(2017_08_24-06_44_59)_ASWMUX221163_wav___1_08_28_378.wav;al;HMB;ALARM
296;HM_HMB_R11_AUDIO_file_5_(2017_08_24-06_44_59)_ASWMUX221163_wav___1_08_28_875.wav;al;HMB;ALARM
297;HM_HMB_R11_AUDIO_file_5_(2017_08_24-06_44_59)_ASWMUX221163_wav___1_08_29_542.wav;al;HMB;ALARM
298;HM_HMB_R11_AUDIO_file_5_(2017_08_24-06_44_59)_ASWMUX221163_wav___1_08_29_954.wav;al;HMB;ALARM
299;HM_HMB_R11_AUDIO_file_5_(2017_08_24-06_44_59)_ASWMUX221163_wav___1_08_31_406.wav;al;HMB;ALARM
300;HM_HMB_R11_AUDIO_file_5_(2017_08_24-06_44_59)_ASWMUX221163_wav___1_08_31_825.wav;al;HMB;ALARM
301;HM_HMB_R11_AUDIO_file_5_(2017_08_24-06_44_59)_ASWMUX221163_wav___1_08_32_763.wav;al;HMB;ALARM
302;HM_HMB_R11_AUDIO_file_5_(2017_08_24-06_44_59)_ASWMUX221163_wav___1_08_33_949.wav;al;HMB;ALARM
303;HM_HMB_R11_AUDIO_file_5_(2017_08_24-06_44_59)_ASWMUX221163_wav___1_08_35_486.wav;al;HMB;ALARM
304;HM_HMB_R11_AUDIO_file_5_(2017_08_24-06_44_59)_ASWMUX221163_wav___1_08_36_520.wav;al;HMB;ALARM
305;HM_HMB_R11_AUDIO_file_5_(2017_08_24-06_44_59)_ASWMUX221163_wav___1_08_37_023.wav;al;HMB;ALARM
306;HM_HMB_R11_AUDIO_file_5_(2017_08_24-06_44_59)_ASWMUX221163_wav___1_08_37_978.wav;al;HMB;ALARM
307;HM_HMB_R11_AUDIO_file_5_(2017_08_24-06_44_59)_ASWMUX221163_wav___1_08_39_639.wav;al;HMB;ALARM
308;HM_HMB_R11_AUDIO_file_5_(2017_08_24-06_44_59)_ASWMUX221163_wav___1_08_40_006.wav;al;HMB;ALARM
309;HM_HMB_R11_AUDIO_file_5_(2017_08_24-06_44_59)_ASWMUX221163_wav___1_08_40_340.wav;al;HMB;ALARM
310;HM_HMB_R11_AUDIO_file_5_(2017_08_24-06_44_59)_ASWMUX221163_wav___1_08_40_741.wav;al;HMB;ALARM
311;HM_HMB_R11_AUDIO_file_5_(2017_08_24-06_44_59)_ASWMUX221163_wav___1_08_41_131.wav;al;HMB;ALARM
312;HM_HMB_R11_AUDIO_file_5_(2017_08_24-06_44_59)_ASWMUX221163_wav___1_08_41_532.wav;al;HMB;ALARM
313;HM_HMB_R11_AUDIO_file_5_(2017_08_24-06_44_59)_ASWMUX221163_wav___1_08_41_831.wav;al;HMB;ALARM
314;HM_HMB_R11_AUDIO_file_5_(2017_08_24-06_44_59)_ASWMUX221163_wav___1_08_42_340.wav;al;HMB;ALARM
315;HM_HMB_R11_AUDIO_file_5_(2017_08_24-06_44_59)_ASWMUX221163_wav___1_08_42_978.wav;al;HMB;ALARM
316;HM_HMB_R11_AUDIO_file_5_(2017_08_24-06_44_59)_ASWMUX221163_wav___1_08_44_103.wav;al;HMB;ALARM
317;HM_HMB_R11_AUDIO_file_5_(2017_08_24-06_44_59)_ASWMUX221163_wav___1_08_45_544.wav;al;HMB;ALARM
318;HM_HMB_R11_AUDIO_file_5_(2017_08_24-06_44_59)_ASWMUX221163_wav___1_08_46_681.wav;al;HMB;ALARM
319;HM_HMB_R11_AUDIO_file_5_(2017_08_24-06_44_59)_ASWMUX221163_wav___1_08_48_379.wav;al;HMB;ALARM
320;HM_HMB_R11_AUDIO_file_5_(2017_08_24-06_44_59)_ASWMUX221163_wav___1_08_50_588.wav;al;HMB;ALARM
321;HM_HMB_R11_AUDIO_file_5_(2017_08_24-06_44_59)_ASWMUX221163_wav___1_08_52_708.wav;al;HMB;ALARM
322;HM_HMB_R11_AUDIO_file_5_(2017_08_24-06_44_59)_ASWMUX221163_wav___1_08_53_752.wav;al;HMB;ALARM
323;HM_HMB_R11_AUDIO_file_5_(2017_08_24-06_44_59)_ASWMUX221163_wav___1_08_55_112.wav;al;HMB;ALARM
324;HM_HMB_R11_AUDIO_file_5_(2017_08_24-06_44_59)_ASWMUX221163_wav___1_08_57_096.wav;al;HMB;ALARM
325;HM_HMB_R11_AUDIO_file_5_(2017_08_24-06_44_59)_ASWMUX221163_wav___1_08_58_926.wav;al;HMB;ALARM 
326;HM_HMB_R11_AUDIO_file_5_(2017_08_24-06_44_59)_ASWMUX221163_wav___1_09_00_203.wav;al;HMB;ALARM
327;HM_HMB_R11_AUDIO_file_5_(2017_08_24-06_44_59)_ASWMUX221163_wav___1_09_01_604.wav;al;HMB;ALARM
328;HM_HMB_R11_AUDIO_file_5_(2017_08_24-06_44_59)_ASWMUX221163_wav___1_09_04_508.wav;al;HMB;ALARM
329;HM_HMB_R11_AUDIO_file_5_(2017_08_24-06_44_59)_ASWMUX221163_wav___1_09_06_599.wav;al;HMB;ALARM
330;HM_HMB_R11_AUDIO_file_5_(2017_08_24-06_44_59)_ASWMUX221163_wav___1_09_06_989.wav;al;HMB;ALARM
331;HM_HMB_R11_AUDIO_file_5_(2017_08_24-06_44_59)_ASWMUX221163_wav___1_09_07_418.wav;al;HMB;ALARM
332;HM_HMB_R11_AUDIO_file_5_(2017_08_24-06_44_59)_ASWMUX221163_wav___1_09_07_819.wav;al;HMB;ALARM
333;HM_HMB_R11_AUDIO_file_5_(2017_08_24-06_44_59)_ASWMUX221163_wav___1_09_08_418.wav;al;HMB;ALARM
334;HM_HMB_R11_AUDIO_file_5_(2017_08_24-06_44_59)_ASWMUX221163_wav___1_09_08_961.wav;al;HMB;ALARM
335;HM_HMB_R11_AUDIO_file_5_(2017_08_24-06_44_59)_ASWMUX221163_wav___1_09_10_758.wav;al;HMB;ALARM
336;HM_HMB_R11_AUDIO_file_5_(2017_08_24-06_44_59)_ASWMUX221163_wav___1_09_12_133.wav;al;HMB;ALARM
337;HM_HMB_R11_AUDIO_file_5_(2017_08_24-06_44_59)_ASWMUX221163_wav___1_09_13_246.wav;al;HMB;ALARM
338;HM_HMB_R11_AUDIO_file_5_(2017_08_24-06_44_59)_ASWMUX221163_wav___1_09_20_890.wav;al;HMB;ALARM
339;HM_HMB_R11_AUDIO_file_5_(2017_08_24-06_44_59)_ASWMUX221163_wav___1_09_30_536.wav;sn;HMB;SN
340;HM_HMB_R11_AUDIO_file_5_(2017_08_24-06_44_59)_ASWMUX221163_wav___1_09_34_359.wav;sn;HMB;SN
341;HM_HMB_R11_AUDIO_file_5_(2017_08_24-06_44_59)_ASWMUX221163_wav___1_09_36_088.wav;sn;HMB;SN
343;HM_HMB_R11_AUDIO_file_5_(2017_08_24-06_44_59)_ASWMUX221163_wav___1_10_36_283.wav;sn;HMB;SN
344;HM_HMB_R11_AUDIO_file_5_(2017_08_24-06_44_59)_ASWMUX221163_wav___1_10_40_041.wav;sn;HMB;SN
371;HM_HMB_R11_AUDIO_file_5_(2017_08_24-06_44_59)_ASWMUX221163_wav___1_49_48_334.wav;mo;HMB;MOV*
450;HM_HMB_R11_AUDIO_file_6_(2017_08_25-06_44_59)_ASWMUX221163_wav___1_23_28_556.wav;agg;HMB;GROWL
451;HM_HMB_R11_AUDIO_file_6_(2017_08_25-06_44_59)_ASWMUX221163_wav___1_23_29_189.wav;agg;HMB;GROWL
614;HM_HRT_R07_20170903-20170908_file_2_(2017_09_03-05_44_59)_ASWMUX221092_wav___1_10_37_829.wav;soc;HRT;SOC
617;HM_HRT_R07_20170903-20170908_file_2_(2017_09_03-05_44_59)_ASWMUX221092_wav___1_10_52_484.wav;sn;HRT;SN
624;HM_HRT_R07_20170903-20170908_file_2_(2017_09_03-05_44_59)_ASWMUX221092_wav___1_11_16_110.wav;sn;HRT;SN
642;HM_HRT_R07_20170903-20170908_file_2_(2017_09_03-05_44_59)_ASWMUX221092_wav___1_12_13_636.wav;sn;HRT;SN
649;HM_HRT_R07_20170903-20170908_file_2_(2017_09_03-05_44_59)_ASWMUX221092_wav___1_13_14_400.wav;sn;HRT;SN
656;HM_HRT_R07_20170903-20170908_file_2_(2017_09_03-05_44_59)_ASWMUX221092_wav___1_13_23_500.wav;sn;HRT;SN
657;HM_HRT_R07_20170903-20170908_file_2_(2017_09_03-05_44_59)_ASWMUX221092_wav___1_13_24_749.wav;sn;HRT;SN
660;HM_HRT_R07_20170903-20170908_file_2_(2017_09_03-05_44_59)_ASWMUX221092_wav___1_13_25_425.wav;sn;HRT;SN
663;HM_HRT_R07_20170903-20170908_file_2_(2017_09_03-05_44_59)_ASWMUX221092_wav___1_13_26_644.wav;ld;HRT;LEAD
664;HM_HRT_R07_20170903-20170908_file_2_(2017_09_03-05_44_59)_ASWMUX221092_wav___1_13_27_258.wav;mo;HRT;MOV
678;HM_HRT_R07_20170903-20170908_file_2_(2017_09_03-05_44_59)_ASWMUX221092_wav___1_13_41_858.wav;ld;HRT;LEAD
679;HM_HRT_R07_20170903-20170908_file_2_(2017_09_03-05_44_59)_ASWMUX221092_wav___1_13_43_770.wav;mo;HRT;MOV
709;HM_HRT_R07_20170903-20170908_file_2_(2017_09_03-05_44_59)_ASWMUX221092_wav___1_16_44_600.wav;sn;HRT;SN
721;HM_HRT_R07_20170903-20170908_file_2_(2017_09_03-05_44_59)_ASWMUX221092_wav___1_17_50_351.wav;mo;HRT;MOV
735;HM_HRT_R07_20170903-20170908_file_2_(2017_09_03-05_44_59)_ASWMUX221092_wav___1_18_19_269.wav;ld;HRT;LEAD
736;HM_HRT_R07_20170903-20170908_file_2_(2017_09_03-05_44_59)_ASWMUX221092_wav___1_18_22_748.wav;soc;HRT;SOC
737;HM_HRT_R07_20170903-20170908_file_2_(2017_09_03-05_44_59)_ASWMUX221092_wav___1_18_28_134.wav;ld;HRT;LEAD
744;HM_HRT_R07_20170903-20170908_file_2_(2017_09_03-05_44_59)_ASWMUX221092_wav___1_20_33_700.wav;soc;HRT;SOC
763;HM_HRT_R07_20170903-20170908_file_2_(2017_09_03-05_44_59)_ASWMUX221092_wav___1_25_47_108.wav;sn;HRT;SN
775;HM_HRT_R07_20170903-20170908_file_2_(2017_09_03-05_44_59)_ASWMUX221092_wav___1_27_43_925.wav;sn;HRT;SN
777;HM_HRT_R07_20170903-20170908_file_2_(2017_09_03-05_44_59)_ASWMUX221092_wav___1_28_08_226.wav;ld;HRT;LEAD
784;HM_HRT_R07_20170903-20170908_file_2_(2017_09_03-05_44_59)_ASWMUX221092_wav___1_29_56_378.wav;sn;HRT;SN
785;HM_HRT_R07_20170903-20170908_file_2_(2017_09_03-05_44_59)_ASWMUX221092_wav___1_30_08_558.wav;sn;HRT;SN
791;HM_HRT_R07_20170903-20170908_file_2_(2017_09_03-05_44_59)_ASWMUX221092_wav___1_30_22_285.wav;mo;HRT;MOV
801;HM_HRT_R07_20170903-20170908_file_2_(2017_09_03-05_44_59)_ASWMUX221092_wav___1_30_57_541.wav;sn;HRT;SN
807;HM_HRT_R07_20170903-20170908_file_2_(2017_09_03-05_44_59)_ASWMUX221092_wav___1_31_42_725.wav;ld;HRT;LEAD
847;HM_HRT_R07_20170903-20170908_file_2_(2017_09_03-05_44_59)_ASWMUX221092_wav___1_40_12_740.wav;mo;HRT;MOV
857;HM_HRT_R07_20170903-20170908_file_2_(2017_09_03-05_44_59)_ASWMUX221092_wav___1_40_22_439.wav;ld;HRT;LEAD
883;HM_HRT_R07_20170903-20170908_file_2_(2017_09_03-05_44_59)_ASWMUX221092_wav___1_45_32_723.wav;mo;HRT;MOV
889;HM_HRT_R07_20170903-20170908_file_2_(2017_09_03-05_44_59)_ASWMUX221092_wav___1_45_39_067.wav;sn;HRT;SN
893;HM_HRT_R07_20170903-20170908_file_2_(2017_09_03-05_44_59)_ASWMUX221092_wav___1_45_41_052.wav;sn;HRT;SN
894;HM_HRT_R07_20170903-20170908_file_2_(2017_09_03-05_44_59)_ASWMUX221092_wav___1_45_41_126.wav;sn;HRT;SN
896;HM_HRT_R07_20170903-20170908_file_2_(2017_09_03-05_44_59)_ASWMUX221092_wav___1_45_48_470.wav;ld;HRT;LEAD
928;HM_HRT_R07_20170903-20170908_file_2_(2017_09_03-05_44_59)_ASWMUX221092_wav___1_52_08_471.wav;mo;HRT;MOV
930;HM_HRT_R07_20170903-20170908_file_2_(2017_09_03-05_44_59)_ASWMUX221092_wav___1_52_12_457.wav;ld;HRT;LEAD
1035;HM_HRT_R07_20170903-20170908_file_2_(2017_09_03-05_44_59)_ASWMUX221092_wav___2_09_22_378.wav;soc;HRT;SOC
1164;HM_HRT_R07_20170903-20170908_file_4_(2017_09_05-05_44_59)_ASWMUX221092_wav___29_58_904.wav;sn;HRT;SN
1166;HM_HRT_R07_20170903-20170908_file_4_(2017_09_05-05_44_59)_ASWMUX221092_wav___30_27_262.wav;sn;HRT;SN
1168;HM_HRT_R07_20170903-20170908_file_4_(2017_09_05-05_44_59)_ASWMUX221092_wav___30_32_208.wav;sn;HRT;SN
1199;HM_HRT_R07_20170903-20170908_file_4_(2017_09_05-05_44_59)_ASWMUX221092_wav___1_02_25_046.wav;sn;HRT;SN
1200;HM_HRT_R07_20170903-20170908_file_4_(2017_09_05-05_44_59)_ASWMUX221092_wav___1_02_25_141.wav;sn;HRT;SN
1208;HM_HRT_R07_20170903-20170908_file_4_(2017_09_05-05_44_59)_ASWMUX221092_wav___1_03_05_156.wav;sn;HRT;SN
1209;HM_HRT_R07_20170903-20170908_file_4_(2017_09_05-05_44_59)_ASWMUX221092_wav___1_03_05_458.wav;sn;HRT;SN
1211;HM_HRT_R07_20170903-20170908_file_4_(2017_09_05-05_44_59)_ASWMUX221092_wav___1_03_06_780.wav;sn;HRT;SN
1212;HM_HRT_R07_20170903-20170908_file_4_(2017_09_05-05_44_59)_ASWMUX221092_wav___1_03_07_602.wav;sn;HRT;SN
1220;HM_HRT_R07_20170903-20170908_file_4_(2017_09_05-05_44_59)_ASWMUX221092_wav___1_04_12_652.wav;sn;HRT;SN
1223;HM_HRT_R07_20170903-20170908_file_4_(2017_09_05-05_44_59)_ASWMUX221092_wav___1_04_13_363.wav;sn;HRT;SN
1224;HM_HRT_R07_20170903-20170908_file_4_(2017_09_05-05_44_59)_ASWMUX221092_wav___1_04_13_459.wav;sn;HRT;SN
1225;HM_HRT_R07_20170903-20170908_file_4_(2017_09_05-05_44_59)_ASWMUX221092_wav___1_04_13_630.wav;sn;HRT;SN
